method;level;f1_weighted_mean;hierarchial_f1_mean;accuracy_mean;macro_f1_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;f1_weighted_std;hierarchial_f1_std;accuracy_std;macro_f1_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;stability
nimbus_flowsom_cluster;level_1;0.9864152024059685;;0.9732033195020747;0.24660380060149212;0.0;0.0;0.9996997035884704;0.9998498384091986;0.0;0.0;0.11597596989233447;0.8840240301076655;0.7764033331180943;0.565844707490793;0.0023893337386974244;;0.004649420585579539;0.0005973334346743386;0.0;0.0;0.00014526065339510967;7.264270199523532e-05;0.0;0.0;0.01015011394172056;0.010150113941720577;0.14346622241690332;0.04505972105094562;0.9761066626130258
nimbus_flowsom_cluster;level_2;0.8091407413057983;;0.8101268524007115;0.2837191643862661;0.4135523692085769;0.4070405565994245;0.9862012155527864;0.993073716455289;0.31120654852509805;0.1572019198339443;0.1385652686009668;0.8614347313990333;0.7983505782097025;0.5589968838852934;0.00538883943068397;;0.004940595341044107;0.00428868858545636;0.01830632808273159;0.021053793677125062;0.005346562733808707;0.002694725975608463;0.016828232864539015;0.007623114459652842;0.014932317494584778;0.014932317494584764;0.1467153152203709;0.044943436529652825;0.9461116056931603
nimbus_flowsom_cluster;level_3;0.5470089370125578;0.7696777824826524;0.5387374036751631;0.3046452344474702;0.4099326940617569;0.3976707000276714;0.805826422369114;0.8976528281405395;0.19611728450143226;0.23361147587814277;0.29505834086986216;0.7049416591301378;2.730399000718226;0.27131043889089035;0.002939315598871653;0.003668006450673396;0.0031588095487744944;0.002169077015898012;0.0028456055088189104;0.002355626109043731;0.013606660214888926;0.007568231332776587;0.003918751577904071;0.003283617512061882;0.012150891855365322;0.012150891855365355;0.44245458005964533;0.03421447453463573;0.9706068440112835
nimbus_phenograph_cluster_k40;level_1;0.9616054663969035;;0.9262086544161233;0.24040136659922587;0.0;0.0;0.9981658917981869;0.99908247267687;0.0;0.0;0.19338707013460205;0.806612929865398;2.2471875874848033;0.3172356728652693;0.010526076813297019;;0.019539580581329492;0.0026315192033242512;0.0;0.0;0.0007225357081823869;0.000361573053491333;0.0;0.0;0.026894561717001973;0.02689456171700195;0.6142197190139977;0.06160394760093619;0.8947392318670299
nimbus_phenograph_cluster_k40;level_2;0.8169142474862042;;0.7861754593953764;0.2978957507543634;0.461697802832591;0.45394105137035606;0.9958648306195885;0.9979299646064519;0.3596833748263476;0.190579572207336;0.1939095183521897;0.8060904816478104;2.247882007106164;0.3171392069757351;0.006359466896492553;;0.00993654375983221;0.002727296692429502;0.014895347518988687;0.016231213575335315;0.001752431118139808;0.0008777529225351772;0.019594030549245297;0.010302289744165957;0.026304411291272662;0.026304411291272648;0.6134741099150031;0.061487495113152275;0.9364053310350745
nimbus_phenograph_cluster_k40;level_3;0.5743814265613085;0.7481760916818398;0.5397320687611143;0.32889302336084;0.43145724612130876;0.4271200990444551;0.8645806256697;0.9297200426970773;0.23301191558987652;0.25447075553524046;0.28460431737754527;0.7153956826224548;4.136452040648631;0.1956216872227427;0.0021677953293442287;0.008618854535535002;0.004213084071100555;0.014299677710296731;0.0031383871730003006;0.0035199760104086303;0.029612730882839527;0.015861426364165612;0.0014398639832330373;0.0032914118385968904;0.015331328320131099;0.015331328320131114;0.3912912287956506;0.015381662146557867;0.9783220467065578
phenograph_20;level_1;0.9605902697428341;;0.9242442205097806;0.24014756743570853;0.0;0.0;0.9980156886190544;0.9990073103675149;0.0;0.0;0.1968351259789718;0.8031648740210283;2.3029980371540817;0.30635940346925544;0.0072928975506257356;;0.01339773759339296;0.0018232243876564328;0.0;0.0;0.0006414320308411178;0.00032103605359162237;0.0;0.0;0.017289544304583904;0.017289544304583945;0.42688992535227144;0.03493348163338456;0.9270710244937427
phenograph_20;level_2;0.8244052426034157;;0.7908820391227029;0.3072949107699839;0.4937340405395382;0.48195612916235736;0.9956155179769471;0.9978048971238908;0.36395845578140185;0.22275545362068322;0.19881516147902797;0.8011848385209721;2.306210818980042;0.30609576270635114;0.006849824718728532;;0.010873225496180909;0.004042056594192222;0.019915719183241875;0.01898583430054605;0.00212213798193479;0.0010637507513307453;0.017451971847565525;0.015337192183175669;0.018684698246270653;0.018684698246270653;0.4295138165268922;0.03504907072887737;0.9315017528127147
phenograph_20;level_3;0.6049939230526894;0.7602856917043861;0.5744718435091879;0.3222395676419986;0.4738570684664679;0.47001441559310075;0.8973105463272925;0.9471909267888885;0.28143209775444233;0.32170509094254285;0.2901536094280502;0.7098463905719499;4.172059264800817;0.1955808105358905;0.012399076638038022;0.010624003889717891;0.010314648007105957;0.010094741059142726;0.011672660578756626;0.012426125452133549;0.02501579120144184;0.013223772915610232;0.007500870643292021;0.005253155386588994;0.020498427408073533;0.02049842740807351;0.6150729790303321;0.02358627916216341;0.8760092336196198
phenograph_30;level_1;0.9633875535479695;;0.929368109069354;0.24084688838699236;0.0;0.0;0.9979338572690392;0.9989663764529446;0.0;0.0;0.1903314375039707;0.8096685624960294;2.1443149104621564;0.3184756977237864;0.002166434967075631;;0.0040363916879829235;0.0005416087417689343;0.0;0.0;0.00042376737677112767;0.00021208934684735563;0.0;0.0;0.005626833970755118;0.005626833970755099;0.12915901807680644;0.013442037966284496;0.9783356503292437
phenograph_30;level_2;0.8163581856644034;;0.7828524007113218;0.30453225092710456;0.4924351846576237;0.476152552839826;0.9865805964136735;0.9932511971478266;0.3449786930048475;0.21796357327532961;0.19924395423241686;0.8007560457675831;2.158250742869162;0.31698532499898024;0.01780519368169033;;0.018491441392060003;0.00900508092463479;0.03862368187115745;0.03722759216106622;0.012661171023806612;0.006389031429208877;0.044075529517586226;0.03275307331554428;0.006141848012506244;0.0061418480125062505;0.1169361455642296;0.01197125639206496;0.8219480631830967
