method;dataset;level;Weighted F1;Hierarchical F1;Macro F1;MCC;ARI;JSD Scaled;Overall Performance;Stability;Scalability
Scyan;IMMUcan;level_3;0.7494596220789821;0.7333822614479967;0.5878655630252413;0.6764817197174956;0.6962484964559256;0.8284238128108218;0.5278937333349571;0.968472073589024;0.8727363541666666
Starling;IMMUcan;level_1;0.8224612027804705;;0.6628214593302331;0.7132510854157941;0.6127460468694058;0.965535805117248;0.5716922817577029;0.9879736463608972;0.5843445833333334
Starling;IMMUcan;level_2;0.7888690905035564;;0.6560259523865916;0.692035784746749;0.6164117448143973;0.9629306080122492;0.5606960144538589;0.9864627374754636;0.5843445833333334
Starling;IMMUcan;level_3;0.6504159714938187;0.7029994529900578;0.3739501222048232;0.5636079978526926;0.6242545707668586;0.7843825600965448;0.43564445232344823;0.9657460853120956;0.5843445833333334
Stratified sampler;IMMUcan;level_1;0.3762940792061707;;0.2498014108789359;0.0006037681072538;6.73423828097451e-05;0.9655840155072348;0.2261635577217182;0.9940755559223682;0.49999916666666666
Stratified sampler;IMMUcan;level_2;0.3074973919479177;;0.1993734202122007;0.0003317141782749;0.0001379706506499;0.9480638150871776;0.2029193050522753;0.9917104707229116;0.49999916666666666
Stratified sampler;IMMUcan;level_3;0.2449803790147043;0.3081180778442641;0.0702948693434161;0.0001327512648374;0.0002027692124823;0.9050594252885066;0.16190573733562275;0.9902632028933124;0.49999916666666666
Tacit;IMMUcan;level_1;0.7657541999193405;;0.5749302558330359;0.6287406427744375;0.4824912992359486;0.8839742185318054;0.5079310618712817;1.0;0.8634810416666667
Tacit;IMMUcan;level_2;0.7199662821219729;;0.5658769725401688;0.5977695507896266;0.4495130309986267;0.8361592177859609;0.4842240584196802;1.0;0.8634810416666667
Tacit;IMMUcan;level_3;0.6561325722711269;0.6306130753018329;0.4757970000381607;0.5289623803436788;0.5077468464537652;0.7398676424334927;0.4353369524480686;1.0;0.8634810416666667
Tribus;IMMUcan;level_1;0.7348118644032396;;0.5570644012040166;0.5927674567505994;0.3917719818681915;0.874055674334547;0.4837647093650425;0.8490779105154156;0.79716875
Tribus;IMMUcan;level_2;0.6898649483666058;;0.5318334490568697;0.5599932809446246;0.4132745355786124;0.836238877518562;0.4621543658874722;0.8004449223168327;0.79716875
Tribus;IMMUcan;level_3;0.6117212982480937;0.6174196349653025;0.3856031245761626;0.4633135604853716;0.4974157058332367;0.7100342062646045;0.39265610595041334;0.7980305199936932;0.79716875
XGBoost;IMMUcan;level_1;0.947002161750983;;0.907800012552042;0.9157873851878204;0.8590367006263488;0.9777886718969372;0.7022954021058702;0.9793609827574836;0.6248865277777778
XGBoost;IMMUcan;level_2;0.9388188245283868;;0.9050502962231112;0.9122308901212344;0.8626510261377047;0.9773245140751208;0.6999582729734419;0.9798881910252896;0.6248865277777778
XGBoost;IMMUcan;level_3;0.9258012030540324;0.8338605408257443;0.8833794412193392;0.9019919789777988;0.8733857666451541;0.9738161292780028;0.6919312733730454;0.9818774259545348;0.6248865277777778
Phenograph;cHL_2_MIBI;level_1;0.8544826127182306;;0.4266851064027882;0.4062896042325481;0.5007355591426708;0.7379032595322985;0.4319193960372736;0.9828184762031976;0.6216816319444445
Phenograph;cHL_2_MIBI;level_2;0.760199150735805;;0.6529146140843971;0.5741903828548045;0.4242184688592905;0.9207435348616868;0.5114795651977148;0.9794767593038132;0.6216816319444445
Phenograph;cHL_2_MIBI;level_3;0.5524874748173118;0.726424756979445;0.4896698295007076;0.4953701372992667;0.2790561337099506;0.8283434677660061;0.4071316961594815;0.9705668150582822;0.6216816319444445
Phenograph;IMMUcan;level_1;0.7410830735105677;;0.5442322838286272;0.6116503488111998;0.4450732919890012;0.8409923314953582;0.4862747614282193;0.946377596442412;0.5789890625
Phenograph;IMMUcan;level_2;0.7041082742311567;;0.5273591642198315;0.5974602847770397;0.4865217820248761;0.8359916606457585;0.47686195551584043;0.9422969346976676;0.5789890625
Phenograph;IMMUcan;level_3;0.5966335268918298;0.6629749752164512;0.3589344859775811;0.5035592890406408;0.5219793648164637;0.7519336882429908;0.3999505110808132;0.9512634837256686;0.5789890625
Leiden;cHL_2_MIBI;level_1;0.8542022295979042;;0.4249014414444266;0.4019682003584699;0.5024715231530064;0.733538508298634;0.4302686279443206;0.982122735579661;0.6176064583333334
Leiden;cHL_2_MIBI;level_2;0.7621429454892086;;0.6540159924349178;0.5815605488870648;0.424812067633577;0.9211147069756326;0.5135769097904319;0.9823114827356552;0.6176064583333334
Leiden;cHL_2_MIBI;level_3;0.5583502135431424;0.7266561771898141;0.4941964697251497;0.5011687414265416;0.2813254205882763;0.8288122169406229;0.41037257607717786;0.981489100191448;0.6176064583333334
Leiden;IMMUcan;level_1;0.7853744943791268;;0.5824278855829695;0.6810766571821035;0.5401629571646442;0.8466009727477275;0.5231659809565737;0.9729679828042374;0.6125476388888889
Leiden;IMMUcan;level_2;0.7485936945505253;;0.5722520567915825;0.6626135705919969;0.5679678228795855;0.839110819611224;0.5128788407885136;0.9737364004169567;0.6125476388888889
Leiden;IMMUcan;level_3;0.6543723365054288;0.6906016413220994;0.4564892667949161;0.5751608297142667;0.5994105617963446;0.7936661786627455;0.4542223795259422;0.9461661121756424;0.6125476388888889
Nimbus;cHL_2_MIBI;level_1;0.8277749193061524;;0.340851521254694;0.2399748454093718;0.2551075874117874;0.7642458031511757;0.3607273637928816;0.9737968712101268;0.6191681944444445
Nimbus;cHL_2_MIBI;level_2;0.6751194851963525;;0.4698021683030009;0.4230677965666882;0.2928469009794166;0.8769435858178962;0.4152540929818551;0.9445000271044685;0.6191681944444445
Nimbus;cHL_2_MIBI;level_3;0.4546131881037416;0.6545434138729467;0.3617800469565029;0.3869257754569891;0.1866753771839076;0.7744883620610333;0.33035190820133364;0.9455498494406824;0.6191681944444445
Nimbus;IMMUcan;level_1;0.6824152435941866;;0.4757865848640666;0.5082021023313963;0.3473430668604069;0.8365638670313771;0.4341592858067602;0.9609263236664548;0.6079948263888889
Nimbus;IMMUcan;level_2;0.6239693221694493;;0.4427860317265348;0.4684245104707599;0.3733317445567998;0.8320243947532123;0.4117866669215003;0.9819082389955502;0.6079948263888889
Nimbus;IMMUcan;level_3;0.5128618195316067;0.5853855504532193;0.2534610246673163;0.3891410764355708;0.4245693378015205;0.704788358996863;0.3291184614493797;0.9844314948218248;0.6079948263888889
